area_name,category1,value,Percent
Altrincham,Aged 15 years and under,2209,20.4
Altrincham,Aged 16 to 64 years,6970,64.3
Altrincham,Aged 65 years and over,1656,15.3
Ashton upon Mersey,Aged 15 years and under,2117,20.5
Ashton upon Mersey,Aged 16 to 64 years,6172,59.7
Ashton upon Mersey,Aged 65 years and over,2048,19.8
Bowdon,Aged 15 years and under,2151,19.9
Bowdon,Aged 16 to 64 years,6084,56.2
Bowdon,Aged 65 years and over,2600,24
Broadheath,Aged 15 years and under,3082,23.7
Broadheath,Aged 16 to 64 years,7997,61.6
Broadheath,Aged 65 years and over,1906,14.7
Brooklands,Aged 15 years and under,2279,21.6
Brooklands,Aged 16 to 64 years,6159,58.5
Brooklands,Aged 65 years and over,2091,19.9
Bucklow-St Martins,Aged 15 years and under,2374,23.5
Bucklow-St Martins,Aged 16 to 64 years,6120,60.6
Bucklow-St Martins,Aged 65 years and over,1609,15.9
Davyhulme,Aged 15 years and under,2248,19.3
Davyhulme,Aged 16 to 64 years,6987,60.1
Davyhulme,Aged 65 years and over,2399,20.6
Flixton,Aged 15 years and under,1961,17.6
Flixton,Aged 16 to 64 years,6630,59.5
Flixton,Aged 65 years and over,2544,22.8
Gorse Hill & Cornbrook,Aged 15 years and under,2289,20.1
Gorse Hill & Cornbrook,Aged 16 to 64 years,8122,71.4
Gorse Hill & Cornbrook,Aged 65 years and over,967,8.5
Hale,Aged 15 years and under,2467,22
Hale,Aged 16 to 64 years,6915,61.7
Hale,Aged 65 years and over,1819,16.2
Hale Barns & Timperley South,Aged 15 years and under,2205,21.6
Hale Barns & Timperley South,Aged 16 to 64 years,5499,53.8
Hale Barns & Timperley South,Aged 65 years and over,2521,24.7
Longford,Aged 15 years and under,2157,20.5
Longford,Aged 16 to 64 years,6803,64.7
Longford,Aged 65 years and over,1556,14.8
Lostock & Barton,Aged 15 years and under,2346,20.6
Lostock & Barton,Aged 16 to 64 years,7120,62.5
Lostock & Barton,Aged 65 years and over,1920,16.9
Manor,Aged 15 years and under,2444,21.2
Manor,Aged 16 to 64 years,7037,61
Manor,Aged 65 years and over,2050,17.8
Old Trafford,Aged 15 years and under,2807,22.4
Old Trafford,Aged 16 to 64 years,8441,67.3
Old Trafford,Aged 65 years and over,1301,10.4
Sale Central,Aged 15 years and under,2103,20.4
Sale Central,Aged 16 to 64 years,6653,64.6
Sale Central,Aged 65 years and over,1537,14.9
Sale Moor,Aged 15 years and under,2542,22
Sale Moor,Aged 16 to 64 years,6979,60.5
Sale Moor,Aged 65 years and over,2015,17.5
Stretford & Humphrey Park,Aged 15 years and under,2445,19.9
Stretford & Humphrey Park,Aged 16 to 64 years,7898,64.3
Stretford & Humphrey Park,Aged 65 years and over,1941,15.8
Timperley Central,Aged 15 years and under,2360,21.2
Timperley Central,Aged 16 to 64 years,6398,57.4
Timperley Central,Aged 65 years and over,2380,21.4
Timperley North,Aged 15 years and under,2440,20.7
Timperley North,Aged 16 to 64 years,7158,60.6
Timperley North,Aged 65 years and over,2214,18.7
Urmston,Aged 15 years and under,1861,17.2
Urmston,Aged 16 to 64 years,6711,62.2
Urmston,Aged 65 years and over,2219,20.6
